junction,timestamp,avg_speed,vehicle_count
Thika Road - Muthaiga,1/1/2025 14:00,72,97
Uhuru Highway - Haile Selassie,1/1/2025 14:00,58,108
Waiyaki Way - Westlands,1/1/2025 14:00,46,110
Ngong Road - Adams Arcade,1/1/2025 14:00,45,88
Jogoo Road - City Stadium,1/1/2025 14:00,41,96
Thika Road - Muthaiga,1/1/2025 14:15,63,90
Uhuru Highway - Haile Selassie,1/1/2025 14:15,62,131
Waiyaki Way - Westlands,1/1/2025 14:15,43,132
Ngong Road - Adams Arcade,1/1/2025 14:15,46,98
Jogoo Road - City Stadium,1/1/2025 14:15,41,127
Thika Road - Muthaiga,1/1/2025 14:30,55,77
Uhuru Highway - Haile Selassie,1/1/2025 14:30,50,78
Waiyaki Way - Westlands,1/1/2025 14:30,51,88
Ngong Road - Adams Arcade,1/1/2025 14:30,60,90
Jogoo Road - City Stadium,1/1/2025 14:30,43,109
Thika Road - Muthaiga,1/1/2025 14:45,63,76
Uhuru Highway - Haile Selassie,1/1/2025 14:45,69,90
Waiyaki Way - Westlands,1/1/2025 14:45,46,117
Ngong Road - Adams Arcade,1/1/2025 14:45,55,59
Jogoo Road - City Stadium,1/1/2025 14:45,57,93
Thika Road - Muthaiga,1/1/2025 15:00,55,66
Uhuru Highway - Haile Selassie,1/1/2025 15:00,55,110
Waiyaki Way - Westlands,1/1/2025 15:00,54,93
Ngong Road - Adams Arcade,1/1/2025 15:00,43,68
Jogoo Road - City Stadium,1/1/2025 15:00,52,96
Thika Road - Muthaiga,1/1/2025 15:15,51,100
Uhuru Highway - Haile Selassie,1/1/2025 15:15,65,86
Waiyaki Way - Westlands,1/1/2025 15:15,44,104
Ngong Road - Adams Arcade,1/1/2025 15:15,45,108
Jogoo Road - City Stadium,1/1/2025 15:15,48,112
Thika Road - Muthaiga,1/1/2025 15:30,74,120
Uhuru Highway - Haile Selassie,1/1/2025 15:30,62,106
Waiyaki Way - Westlands,1/1/2025 15:30,60,109
Ngong Road - Adams Arcade,1/1/2025 15:30,50,70
Jogoo Road - City Stadium,1/1/2025 15:30,33,110
Thika Road - Muthaiga,1/1/2025 15:45,43,72
Uhuru Highway - Haile Selassie,1/1/2025 15:45,60,105
Waiyaki Way - Westlands,1/1/2025 15:45,50,122
Ngong Road - Adams Arcade,1/1/2025 15:45,33,109
Jogoo Road - City Stadium,1/1/2025 15:45,47,69
Thika Road - Muthaiga,1/1/2025 16:00,37,149
Uhuru Highway - Haile Selassie,1/1/2025 16:00,33,144
Waiyaki Way - Westlands,1/1/2025 16:00,36,140
Ngong Road - Adams Arcade,1/1/2025 16:00,20,141
Jogoo Road - City Stadium,1/1/2025 16:00,21,144
Thika Road - Muthaiga,1/1/2025 16:15,45,143
Uhuru Highway - Haile Selassie,1/1/2025 16:15,38,161
Waiyaki Way - Westlands,1/1/2025 16:15,24,152
Ngong Road - Adams Arcade,1/1/2025 16:15,19,134
Jogoo Road - City Stadium,1/1/2025 16:15,20,143
Thika Road - Muthaiga,1/1/2025 16:30,37,173
Uhuru Highway - Haile Selassie,1/1/2025 16:30,36,165
Waiyaki Way - Westlands,1/1/2025 16:30,29,158
Ngong Road - Adams Arcade,1/1/2025 16:30,34,145
Jogoo Road - City Stadium,1/1/2025 16:30,25,144
Thika Road - Muthaiga,1/1/2025 16:45,19,139
Uhuru Highway - Haile Selassie,1/1/2025 16:45,45,153
Waiyaki Way - Westlands,1/1/2025 16:45,29,184
Ngong Road - Adams Arcade,1/1/2025 16:45,30,144
Jogoo Road - City Stadium,1/1/2025 16:45,38,198
Thika Road - Muthaiga,1/1/2025 17:00,29,142
Uhuru Highway - Haile Selassie,1/1/2025 17:00,36,151
Waiyaki Way - Westlands,1/1/2025 17:00,19,148
Ngong Road - Adams Arcade,1/1/2025 17:00,19,126
Jogoo Road - City Stadium,1/1/2025 17:00,37,177
Thika Road - Muthaiga,1/1/2025 17:15,49,143
Uhuru Highway - Haile Selassie,1/1/2025 17:15,27,177
Waiyaki Way - Westlands,1/1/2025 17:15,35,182
Ngong Road - Adams Arcade,1/1/2025 17:15,26,120
Jogoo Road - City Stadium,1/1/2025 17:15,18,138
Thika Road - Muthaiga,1/1/2025 17:30,52,157
Uhuru Highway - Haile Selassie,1/1/2025 17:30,38,155
Waiyaki Way - Westlands,1/1/2025 17:30,27,150
Ngong Road - Adams Arcade,1/1/2025 17:30,21,127
Jogoo Road - City Stadium,1/1/2025 17:30,23,152
Thika Road - Muthaiga,1/1/2025 17:45,37,148
Uhuru Highway - Haile Selassie,1/1/2025 17:45,27,172
Waiyaki Way - Westlands,1/1/2025 17:45,37,151
Ngong Road - Adams Arcade,1/1/2025 17:45,20,143
Jogoo Road - City Stadium,1/1/2025 17:45,36,153
Thika Road - Muthaiga,1/1/2025 18:00,41,118
Uhuru Highway - Haile Selassie,1/1/2025 18:00,38,166
Waiyaki Way - Westlands,1/1/2025 18:00,16,148
Ngong Road - Adams Arcade,1/1/2025 18:00,28,111
Jogoo Road - City Stadium,1/1/2025 18:00,22,155
Thika Road - Muthaiga,1/1/2025 18:15,24,153
Uhuru Highway - Haile Selassie,1/1/2025 18:15,24,175
Waiyaki Way - Westlands,1/1/2025 18:15,31,150
Ngong Road - Adams Arcade,1/1/2025 18:15,25,123
Jogoo Road - City Stadium,1/1/2025 18:15,25,167
Thika Road - Muthaiga,1/1/2025 18:30,28,156
Uhuru Highway - Haile Selassie,1/1/2025 18:30,45,183
Waiyaki Way - Westlands,1/1/2025 18:30,24,122
Ngong Road - Adams Arcade,1/1/2025 18:30,26,144
Jogoo Road - City Stadium,1/1/2025 18:30,25,157
Thika Road - Muthaiga,1/1/2025 18:45,36,145
Uhuru Highway - Haile Selassie,1/1/2025 18:45,36,193
Waiyaki Way - Westlands,1/1/2025 18:45,27,165
Ngong Road - Adams Arcade,1/1/2025 18:45,24,128
Jogoo Road - City Stadium,1/1/2025 18:45,26,157
Thika Road - Muthaiga,1/1/2025 19:00,54,148
Uhuru Highway - Haile Selassie,1/1/2025 19:00,31,189
Waiyaki Way - Westlands,1/1/2025 19:00,27,178
Ngong Road - Adams Arcade,1/1/2025 19:00,20,105
Jogoo Road - City Stadium,1/1/2025 19:00,27,123
Thika Road - Muthaiga,1/1/2025 19:15,50,144
Uhuru Highway - Haile Selassie,1/1/2025 19:15,32,180
Waiyaki Way - Westlands,1/1/2025 19:15,13,172
Ngong Road - Adams Arcade,1/1/2025 19:15,34,139
Jogoo Road - City Stadium,1/1/2025 19:15,39,129
Thika Road - Muthaiga,1/1/2025 19:30,34,149
Uhuru Highway - Haile Selassie,1/1/2025 19:30,52,185
Waiyaki Way - Westlands,1/1/2025 19:30,33,162
Ngong Road - Adams Arcade,1/1/2025 19:30,21,129
Jogoo Road - City Stadium,1/1/2025 19:30,23,164
Thika Road - Muthaiga,1/1/2025 19:45,33,145
Uhuru Highway - Haile Selassie,1/1/2025 19:45,37,183
Waiyaki Way - Westlands,1/1/2025 19:45,27,175
Ngong Road - Adams Arcade,1/1/2025 19:45,20,131
Jogoo Road - City Stadium,1/1/2025 19:45,33,145
Thika Road - Muthaiga,1/1/2025 20:00,52,101
Uhuru Highway - Haile Selassie,1/1/2025 20:00,65,123
Waiyaki Way - Westlands,1/1/2025 20:00,65,106
Ngong Road - Adams Arcade,1/1/2025 20:00,35,73
Jogoo Road - City Stadium,1/1/2025 20:00,59,68
Thika Road - Muthaiga,1/1/2025 20:15,59,99
Uhuru Highway - Haile Selassie,1/1/2025 20:15,45,114
Waiyaki Way - Westlands,1/1/2025 20:15,51,136
Ngong Road - Adams Arcade,1/1/2025 20:15,50,86
Jogoo Road - City Stadium,1/1/2025 20:15,49,102
Thika Road - Muthaiga,1/1/2025 20:30,63,78
Uhuru Highway - Haile Selassie,1/1/2025 20:30,65,138
Waiyaki Way - Westlands,1/1/2025 20:30,45,123
Ngong Road - Adams Arcade,1/1/2025 20:30,43,70
Jogoo Road - City Stadium,1/1/2025 20:30,56,95
Thika Road - Muthaiga,1/1/2025 20:45,72,64
Uhuru Highway - Haile Selassie,1/1/2025 20:45,51,107
Waiyaki Way - Westlands,1/1/2025 20:45,36,84
Ngong Road - Adams Arcade,1/1/2025 20:45,45,97
Jogoo Road - City Stadium,1/1/2025 20:45,37,75
Thika Road - Muthaiga,1/1/2025 21:00,73,84
Uhuru Highway - Haile Selassie,1/1/2025 21:00,42,106
Waiyaki Way - Westlands,1/1/2025 21:00,47,96
Ngong Road - Adams Arcade,1/1/2025 21:00,44,44
Jogoo Road - City Stadium,1/1/2025 21:00,53,91
Thika Road - Muthaiga,1/1/2025 21:15,69,117
Uhuru Highway - Haile Selassie,1/1/2025 21:15,46,105
Waiyaki Way - Westlands,1/1/2025 21:15,50,138
Ngong Road - Adams Arcade,1/1/2025 21:15,44,85
Jogoo Road - City Stadium,1/1/2025 21:15,46,97
Thika Road - Muthaiga,1/1/2025 21:30,55,81
Uhuru Highway - Haile Selassie,1/1/2025 21:30,50,109
Waiyaki Way - Westlands,1/1/2025 21:30,50,89
Ngong Road - Adams Arcade,1/1/2025 21:30,57,81
Jogoo Road - City Stadium,1/1/2025 21:30,56,55
Thika Road - Muthaiga,1/1/2025 21:45,43,108
Uhuru Highway - Haile Selassie,1/1/2025 21:45,52,104
Waiyaki Way - Westlands,1/1/2025 21:45,43,78
Ngong Road - Adams Arcade,1/1/2025 21:45,59,68
Jogoo Road - City Stadium,1/1/2025 21:45,58,109
Thika Road - Muthaiga,1/1/2025 22:00,50,100
Uhuru Highway - Haile Selassie,1/1/2025 22:00,58,102
Waiyaki Way - Westlands,1/1/2025 22:00,55,81
Ngong Road - Adams Arcade,1/1/2025 22:00,42,81
Jogoo Road - City Stadium,1/1/2025 22:00,51,105
Thika Road - Muthaiga,1/1/2025 22:15,69,84
Uhuru Highway - Haile Selassie,1/1/2025 22:15,59,93
Waiyaki Way - Westlands,1/1/2025 22:15,47,108
Ngong Road - Adams Arcade,1/1/2025 22:15,34,89
Jogoo Road - City Stadium,1/1/2025 22:15,46,108
Thika Road - Muthaiga,1/1/2025 22:30,68,82
Uhuru Highway - Haile Selassie,1/1/2025 22:30,43,99
Waiyaki Way - Westlands,1/1/2025 22:30,54,76
Ngong Road - Adams Arcade,1/1/2025 22:30,59,65
Jogoo Road - City Stadium,1/1/2025 22:30,61,63
Thika Road - Muthaiga,1/1/2025 22:45,59,93
Uhuru Highway - Haile Selassie,1/1/2025 22:45,58,101
Waiyaki Way - Westlands,1/1/2025 22:45,58,99
Ngong Road - Adams Arcade,1/1/2025 22:45,46,86
Jogoo Road - City Stadium,1/1/2025 22:45,47,89
Thika Road - Muthaiga,1/1/2025 23:00,46,94
Uhuru Highway - Haile Selassie,1/1/2025 23:00,60,89
Waiyaki Way - Westlands,1/1/2025 23:00,48,102
Ngong Road - Adams Arcade,1/1/2025 23:00,47,85
Jogoo Road - City Stadium,1/1/2025 23:00,41,86
Thika Road - Muthaiga,1/1/2025 23:15,52,92
Uhuru Highway - Haile Selassie,1/1/2025 23:15,41,116
Waiyaki Way - Westlands,1/1/2025 23:15,53,115
Ngong Road - Adams Arcade,1/1/2025 23:15,52,88
Jogoo Road - City Stadium,1/1/2025 23:15,56,119
Thika Road - Muthaiga,1/1/2025 23:30,49,62
Uhuru Highway - Haile Selassie,1/1/2025 23:30,55,100
Waiyaki Way - Westlands,1/1/2025 23:30,44,107
Ngong Road - Adams Arcade,1/1/2025 23:30,38,87
Jogoo Road - City Stadium,1/1/2025 23:30,36,85
Thika Road - Muthaiga,1/1/2025 23:45,49,76
Uhuru Highway - Haile Selassie,1/1/2025 23:45,63,95
Waiyaki Way - Westlands,1/1/2025 23:45,71,85
Ngong Road - Adams Arcade,1/1/2025 23:45,46,92
Jogoo Road - City Stadium,1/1/2025 23:45,53,82
Thika Road - Muthaiga,1/2/2025 0:00,60,81
Uhuru Highway - Haile Selassie,1/2/2025 0:00,54,148
Waiyaki Way - Westlands,1/2/2025 0:00,44,117
Ngong Road - Adams Arcade,1/2/2025 0:00,59,84
Jogoo Road - City Stadium,1/2/2025 0:00,62,85
Thika Road - Muthaiga,1/2/2025 0:15,55,100
Uhuru Highway - Haile Selassie,1/2/2025 0:15,62,119
Waiyaki Way - Westlands,1/2/2025 0:15,37,109
Ngong Road - Adams Arcade,1/2/2025 0:15,43,74
Jogoo Road - City Stadium,1/2/2025 0:15,52,93
Thika Road - Muthaiga,1/2/2025 0:30,49,92
Uhuru Highway - Haile Selassie,1/2/2025 0:30,59,115
Waiyaki Way - Westlands,1/2/2025 0:30,58,108
Ngong Road - Adams Arcade,1/2/2025 0:30,48,97
Jogoo Road - City Stadium,1/2/2025 0:30,34,93
Thika Road - Muthaiga,1/2/2025 0:45,61,96
Uhuru Highway - Haile Selassie,1/2/2025 0:45,44,114
Waiyaki Way - Westlands,1/2/2025 0:45,58,83
Ngong Road - Adams Arcade,1/2/2025 0:45,50,84
Jogoo Road - City Stadium,1/2/2025 0:45,48,95
Thika Road - Muthaiga,1/2/2025 1:00,55,104
Uhuru Highway - Haile Selassie,1/2/2025 1:00,51,111
Waiyaki Way - Westlands,1/2/2025 1:00,47,93
Ngong Road - Adams Arcade,1/2/2025 1:00,41,88
Jogoo Road - City Stadium,1/2/2025 1:00,40,113
Thika Road - Muthaiga,1/2/2025 1:15,56,87
Uhuru Highway - Haile Selassie,1/2/2025 1:15,56,131
Waiyaki Way - Westlands,1/2/2025 1:15,38,115
Ngong Road - Adams Arcade,1/2/2025 1:15,52,89
Jogoo Road - City Stadium,1/2/2025 1:15,56,96
Thika Road - Muthaiga,1/2/2025 1:30,71,82
Uhuru Highway - Haile Selassie,1/2/2025 1:30,52,144
Waiyaki Way - Westlands,1/2/2025 1:30,61,93
Ngong Road - Adams Arcade,1/2/2025 1:30,40,108
Jogoo Road - City Stadium,1/2/2025 1:30,45,88
Thika Road - Muthaiga,1/2/2025 1:45,52,69
Uhuru Highway - Haile Selassie,1/2/2025 1:45,48,94
Waiyaki Way - Westlands,1/2/2025 1:45,51,99
Ngong Road - Adams Arcade,1/2/2025 1:45,37,108
Jogoo Road - City Stadium,1/2/2025 1:45,46,109
Thika Road - Muthaiga,1/2/2025 2:00,65,89
Uhuru Highway - Haile Selassie,1/2/2025 2:00,58,93
Waiyaki Way - Westlands,1/2/2025 2:00,53,102
Ngong Road - Adams Arcade,1/2/2025 2:00,64,89
Jogoo Road - City Stadium,1/2/2025 2:00,43,85
Thika Road - Muthaiga,1/2/2025 2:15,55,80
Uhuru Highway - Haile Selassie,1/2/2025 2:15,64,100
Waiyaki Way - Westlands,1/2/2025 2:15,45,121
Ngong Road - Adams Arcade,1/2/2025 2:15,48,72
Jogoo Road - City Stadium,1/2/2025 2:15,53,86
Thika Road - Muthaiga,1/2/2025 2:30,47,93
Uhuru Highway - Haile Selassie,1/2/2025 2:30,69,133
Waiyaki Way - Westlands,1/2/2025 2:30,46,90
Ngong Road - Adams Arcade,1/2/2025 2:30,47,89
Jogoo Road - City Stadium,1/2/2025 2:30,64,104
Thika Road - Muthaiga,1/2/2025 2:45,53,87
Uhuru Highway - Haile Selassie,1/2/2025 2:45,49,89
Waiyaki Way - Westlands,1/2/2025 2:45,64,99
Ngong Road - Adams Arcade,1/2/2025 2:45,46,77
Jogoo Road - City Stadium,1/2/2025 2:45,57,94
Thika Road - Muthaiga,1/2/2025 3:00,55,127
Uhuru Highway - Haile Selassie,1/2/2025 3:00,63,102
Waiyaki Way - Westlands,1/2/2025 3:00,64,110
Ngong Road - Adams Arcade,1/2/2025 3:00,42,93
Jogoo Road - City Stadium,1/2/2025 3:00,56,103
Thika Road - Muthaiga,1/2/2025 3:15,64,102
Uhuru Highway - Haile Selassie,1/2/2025 3:15,64,126
Waiyaki Way - Westlands,1/2/2025 3:15,55,120
Ngong Road - Adams Arcade,1/2/2025 3:15,46,82
Jogoo Road - City Stadium,1/2/2025 3:15,41,113
Thika Road - Muthaiga,1/2/2025 3:30,56,95
Uhuru Highway - Haile Selassie,1/2/2025 3:30,65,110
Waiyaki Way - Westlands,1/2/2025 3:30,50,102
Ngong Road - Adams Arcade,1/2/2025 3:30,50,64
Jogoo Road - City Stadium,1/2/2025 3:30,65,104
Thika Road - Muthaiga,1/2/2025 3:45,61,85
Uhuru Highway - Haile Selassie,1/2/2025 3:45,67,113
Waiyaki Way - Westlands,1/2/2025 3:45,52,98
Ngong Road - Adams Arcade,1/2/2025 3:45,46,94
Jogoo Road - City Stadium,1/2/2025 3:45,49,88
Thika Road - Muthaiga,1/2/2025 4:00,51,106
Uhuru Highway - Haile Selassie,1/2/2025 4:00,49,111
Waiyaki Way - Westlands,1/2/2025 4:00,37,117
Ngong Road - Adams Arcade,1/2/2025 4:00,48,76
Jogoo Road - City Stadium,1/2/2025 4:00,47,118
Thika Road - Muthaiga,1/2/2025 4:15,75,81
Uhuru Highway - Haile Selassie,1/2/2025 4:15,37,88
Waiyaki Way - Westlands,1/2/2025 4:15,45,106
Ngong Road - Adams Arcade,1/2/2025 4:15,50,69
Jogoo Road - City Stadium,1/2/2025 4:15,43,98
Thika Road - Muthaiga,1/2/2025 4:30,66,70
